"","StandortID","KaboStatus","AktStandorttyp","x_200","y_200","Gemeinde","periode","p.dat","param_txt","einheit","WertOB","WertOB_tab","Klasse_OB","WertUB","WertUB_tab","Klasse_UB"
"138",6422,"NS","Acker",2697200,1274600,"Ossingen",4,2010-07-21,"Quecksilber","ppm",0.03,"0.03","0",0.01,"0.01","0"
"139",6422,"NS","Acker",2697200,1274600,"Ossingen",5,2015-04-23,"Quecksilber","ppm",0.03,"0.03","0",0.01,"0.01","0"
"140",6423,"NS","Acker",2696800,1266400,"Seuzach",1,1995-09-13,"Quecksilber","ppm",0.08,"0.08","0",0.02,"0.02","0"
"141",6423,"NS","Acker",2696800,1266400,"Seuzach",2,2000-11-01,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
"142",6423,"NS","Acker",2696800,1266400,"Seuzach",4,2010-03-31,"Quecksilber","ppm",0.04,"0.04","0",0.03,"0.03","0"
"143",6423,"NS","Acker",2696800,1266400,"Seuzach",5,2015-03-17,"Quecksilber","ppm",0.04,"0.04","0",0.03,"0.03","0"
"144",6423,"NS","Acker",2696800,1266400,"Seuzach",6,2024-03-07,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"145",6424,"NS","Acker",2696400,1269200,"Dägerlen",1,1995-09-21,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"146",6424,"NS","Acker",2696400,1269200,"Dägerlen",2,2000-08-16,"Quecksilber","ppm",0.03,"0.03","0",NA,NA,NA
"147",6424,"NS","Acker",2696400,1269200,"Dägerlen",4,2010-04-14,"Quecksilber","ppm",0.03,"0.03","0",0.02,"0.02","0"
"148",6424,"NS","Acker",2696400,1269200,"Dägerlen",5,2015-03-11,"Quecksilber","ppm",0.03,"0.03","0",0.02,"0.02","0"
"149",6425,"NS","Acker",2695800,1267800,"Hettlingen",1,1995-09-21,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"150",6425,"NS","Acker",2695800,1267800,"Hettlingen",2,2000-08-15,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
"151",6425,"NS","Acker",2695800,1267800,"Hettlingen",4,2010-03-31,"Quecksilber","ppm",0.07,"0.07","0",0.03,"0.03","0"
"152",6425,"NS","Acker",2695800,1267800,"Hettlingen",5,2015-04-22,"Quecksilber","ppm",0.03,"0.03","0",0.03,"0.03","0"
"153",6425,"NS","Acker",2695800,1267800,"Hettlingen",6,2024-04-11,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"154",6426,"NS","Acker",2696800,1268400,"Dägerlen",1,1995-09-21,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"155",6426,"NS","Acker",2696800,1268400,"Dägerlen",2,2000-10-12,"Quecksilber","ppm",0.04,"0.04","0",0.04,"0.04","0"
"156",6426,"NS","Acker",2696800,1268400,"Dägerlen",4,2010-08-18,"Quecksilber","ppm",0.04,"0.04","0",0.04,"0.04","0"
"157",6426,"NS","Acker",2696800,1268400,"Dägerlen",5,2015-03-17,"Quecksilber","ppm",0.04,"0.04","0",0.04,"0.04","0"
"158",6426,"NS","Acker",2696800,1268400,"Dägerlen",6,2024-05-29,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"159",6427,"NS","Acker",2689600,1267000,"Buch a.I.",1,1995-09-27,"Quecksilber","ppm",0,"<0.15","-1",0.05,"0.05","0"
"160",6427,"NS","Acker",2689600,1267000,"Buch a.I.",2,2000-08-29,"Quecksilber","ppm",0.04,"0.04","0",0.04,"0.04","0"
"161",6427,"NS","Acker",2689600,1267000,"Buch a.I.",4,2010-04-08,"Quecksilber","ppm",0.04,"0.04","0",0.05,"0.05","0"
"162",6427,"NS","Acker",2689600,1267000,"Buch a.I.",5,2015-03-18,"Quecksilber","ppm",0.04,"0.04","0",0.04,"0.04","0"
"163",6428,"NS","Acker",2688200,1267800,"Berg a.I.",1,1995-09-08,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"164",6428,"NS","Acker",2688200,1267800,"Berg a.I.",2,2000-11-02,"Quecksilber","ppm",0.03,"0.03","0",NA,NA,NA
"165",6428,"NS","Acker",2688200,1267800,"Berg a.I.",4,2010-08-04,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
