"","StandortID","x_200","y_200","Gemeinde"
"370",7409,2675200,1233400,"Obfelden"
"371",7410,2674600,1236800,"Ottenbach"
"372",7411,2674200,1238000,"Ottenbach"
"373",7412,2677800,1234800,"Mettmenstetten"
"374",7413,2675600,1235400,"Obfelden"
"375",7414,2677400,1235600,"Affoltern a.A."
"376",7415,2677800,1230200,"Knonau"
"377",7416,2677600,1231800,"Knonau"
"378",7417,2673800,1234600,"Obfelden"
"379",7418,2705800,1235200,"Rüti"
"380",7420,2675800,1237600,"Affoltern a.A."
"381",7421,2678800,1233200,"Rifferswil"
"382",7422,2677800,1240000,"Bonstetten"
"383",7423,2680200,1235600,"Aeugst a.A."
"384",7424,2679600,1235400,"Aeugst a.A."
"385",7425,2679200,1233600,"Rifferswil"
"386",7426,2678800,1234400,"Mettmenstetten"
"387",7427,2674800,1247200,"Urdorf"
"388",7428,2674200,1235600,"Obfelden"
"389",7429,2674800,1234400,"Obfelden"
"390",7430,2675400,1234600,"Mettmenstetten"
"391",7431,2675000,1232600,"Maschwanden"
"392",7432,2696800,1242400,"Uster"
"393",7532,2684000,1231800,"Hausen a.A."
"394",7533,2674400,1236200,"Obfelden"
"395",7534,2682000,1230600,"Kappel a.A."
"396",7535,2674400,1232600,"Maschwanden"
"397",7536,2673800,1237200,"Ottenbach"
"398",7537,2672400,1237800,"Ottenbach"
"399",7538,2673000,1236600,"Ottenbach"
"400",7539,2673200,1237800,"Ottenbach"
"401",7540,2675800,1247200,"Uitikon"
"402",7541,2678600,1237800,"Aeugst a.A."
"403",7542,2678400,1231000,"Knonau"
"404",7543,2678200,1240600,"Bonstetten"
"405",7544,2687000,1232600,"Horgen"
"406",7545,2686200,1234200,"Horgen"
"407",7546,2688000,1231800,"Horgen"
"408",7547,2692400,1231000,"Wädenswil"
"409",7548,2691400,1232600,"Wädenswil"
"410",7549,2685200,1231400,"Hausen a.A."
"411",7550,2677200,1239800,"Hedingen"
"412",7551,2677400,1238600,"Hedingen"
"413",7552,2675400,1232000,"Maschwanden"
"414",7553,2678800,1230600,"Knonau"
"415",7554,2679800,1232200,"Rifferswil"
"416",7555,2690000,1232600,"Horgen"
"417",7556,2689600,1232800,"Horgen"
"418",7557,2691800,1232000,"Wädenswil"
"419",7558,2687400,1231200,"Horgen"
"420",7559,2688600,1229800,"Horgen"
"421",7560,2690800,1229400,"Wädenswil"
"422",7561,2692400,1227600,"Wädenswil"
"423",7562,2690600,1232800,"Wädenswil"
"424",7563,2691400,1228800,"Wädenswil"
"425",7564,2692400,1228200,"Wädenswil"
"426",7565,2692200,1231400,"Wädenswil"
"427",7566,2681600,1231200,"Kappel a.A."
"428",7567,2682400,1237000,"Langnau a.A."
"429",7568,2678800,1230200,"Knonau"
"430",7569,2676600,1230400,"Knonau"
"431",7570,2685400,1231000,"Hausen a.A."
"432",7571,2687800,1230200,"Horgen"
"433",7572,2690200,1232200,"Wädenswil"
"434",7573,2690000,1233800,"Horgen"
"435",7574,2690600,1233200,"Wädenswil"
"436",7575,2691600,1232800,"Wädenswil"
"437",7576,2691600,1232200,"Wädenswil"
"438",7577,2674200,1242200,"Aesch"
"439",7578,2679200,1238000,"Aeugst a.A."
"440",7579,2680200,1231400,"Kappel a.A."
"441",7585,2673200,1238200,"Ottenbach"
"442",7586,2678000,1233800,"Mettmenstetten"
"443",7587,2681600,1231800,"Kappel a.A."
"444",7588,2714200,1243800,"Fischenthal"
"445",7589,2675400,1249200,"Schlieren"
"446",7590,2677000,1248200,"Zürich"
"447",7591,2687000,1247800,"Zürich"
"448",7592,2685200,1249800,"Zürich"
"449",7593,2677800,1236400,"Affoltern a.A."
"450",7594,2673800,1244600,"Birmensdorf"
"451",7595,2673400,1236400,"Ottenbach"
"452",7596,2680400,1236800,"Aeugst a.A."
"453",7597,2681600,1273800,"Wil"
"454",7598,2684800,1274400,"Rafz"
"455",7599,2684000,1273800,"Rafz"
"456",7601,2678000,1241200,"Bonstetten"
"457",7602,2678800,1241400,"Bonstetten"
"458",7603,2680000,1234200,"Rifferswil"
"459",7604,2709600,1248800,"Bauma"
"460",7605,2710800,1249600,"Bauma"
"461",7606,2699000,1276400,"Stammheim"
"462",7607,2700400,1274800,"Stammheim"
"463",7608,2701800,1276000,"Stammheim"
"464",7609,2701200,1275800,"Stammheim"
"465",7610,2705200,1255200,"Turbenthal"
"466",7611,2698000,1254800,"Illnau-Effretikon"
"467",7612,2691400,1261400,"Oberembrach"
"468",7613,2679400,1257600,"Niederhasli"
"469",7614,2677600,1258200,"Niederhasli"
"470",7615,2675600,1267200,"Weiach"
"471",7616,2681600,1274800,"Rafz"
"472",7617,2678400,1271600,"Wasterkingen"
"473",7618,2682600,1272000,"Wil"
"474",7619,2708600,1246800,"Bauma"
"475",7620,2675000,1268000,"Weiach"
"476",7621,2669800,1261200,"Niederweningen"
"477",7622,2670200,1261600,"Niederweningen"
"478",7623,2689000,1261600,"Oberembrach"
"479",7624,2692000,1260800,"Oberembrach"
"480",7625,2707200,1252400,"Turbenthal"
"481",7626,2710400,1247000,"Bauma"
"482",7627,2680800,1235200,"Hausen a.A."
"483",7628,2682200,1274000,"Rafz"
"484",7629,2683800,1272800,"Rafz"
"485",7630,2694600,1276800,"Trüllikon"
"486",7631,2701800,1275200,"Stammheim"
"487",7673,2704800,1242600,"Wetzikon"
"488",7821,2674800,1243000,"Aesch"
"489",7895,2688400,1276600,"Rheinau"
"490",7896,2675800,1247200,"Uitikon"
"491",7935,2685400,1249000,"Zürich"
"492",7937,2695800,1235600,"Männedorf"
"493",7938,2683200,1275200,"Rafz"
"494",7941,2709800,1239200,"Wald"
"495",7942,2709800,1239200,"Wald"
"496",7943,2707000,1240200,"Hinwil"
"497",7944,2707000,1240200,"Hinwil"
"498",7945,2680400,1243200,"Stallikon"
"499",7946,2687000,1253200,"Wallisellen"
"500",7947,2703800,1277400,"Stammheim"
"501",7949,2698400,1262600,"Winterthur"
"502",7950,2679600,1263200,"Höri"
"503",7952,2694200,1259400,"Brütten"
"504",7954,2686800,1267200,"Freienstein-Teufen"
"505",7955,2691400,1278000,"Benken"
"506",7957,2681400,1258400,"Oberglatt"
"507",8362,2701400,1242200,"Wetzikon"
"508",9074,2692600,1241400,"Maur"
"509",16219,2701400,1240000,"Gossau"
